category_id,name
69694,NUMERICAL TV TITLES
69693,CURRENT KINGS
69692,TRAITORS
69691,SEAN CONNERY FILMS
69690,PEOPLE OF THE '60s
69689,PEOPLE OF THE '60s
69688,PEOPLE OF THE '60s
69687,PEOPLE OF THE '60s
69686,WOMEN SAINTS
69685,PEOPLE OF THE '60s
69684,OPERA LIBRETTISTS
69683,1796
69682,RUSSIA
69681,EUGENE O'NEILL
69680,EUGENE O'NEILL
69679,EUGENE O'NEILL
69678,EUGENE O'NEILL
69677,EUGENE O'NEILL
69676,FIRST YEAR OF THE CENTURY
69675,GEOGRAPHICAL WORDS & PHRASES
69674,'80s LIT
69673,'80s LIT
69672,'80s LIT
69671,THE 68th OSCARS
69670,SOUTHERN COOKING
69669,INSPIRATIONS
69668,'80s LIT
69667,'80s LIT
69666,PERILS
69665,DECEMBER
69664,FAMOUS GABYs
69663,SEYCHELLES
69662,LATIN LEGAL LINGO
69661,BY THE SEASHORE
69660,SHE SELLS
69659,SUSAN SARANDON CINEMA
69658,BITTER BATTLES
69657,THE MARINE CORPS
69656,COUNTRY MUSIC TOURISM
69655,"""MAN""LY WORDS & PHRASES"
69654,NOTABLE NONHUMANS
69653,MINORITIES
69652,WORLD FOOD & DRINK
69651,19TH CENTURY SCIENCE
69650,RICHARD GERE FILMS
69649,1996 OLYMPIC GOLD MEDALISTS
69648,DOUBLE L WORDS
69647,THE UNEXPLAINED
69646,"CRY ""UNCLE"""
69645,NEW JERSEYANS
69644,"""OUT OF   """
69643,FOREIGN FILM DIRECTORS
69642,THE 104TH CONGRESS
69641,BARBARA WALTERS' 20 YEARS
69640,BARBARA WALTERS' 20 YEARS
69639,BARBARA WALTERS' 20 YEARS
69638,BARBARA WALTERS' 20 YEARS
69637,BARBARA WALTERS' 20 YEARS
69636,EUROPEAN DINING
69635,4-LETTER QUOTES
69634,BIRD TV
69633,GERMAN CUISINE
69632,OKLAHOMANS
69631,19TH CENTURY AUTHORS
69630,"""BEA""S"
69629,"""Z"" ABBREVIATIONS"
69628,TV NEWS NAMES
69627,HAITI
69626,THIS 'N' THAT
69625,THIS 'N' THAT
69624,THIS 'N' THAT
69623,THIS 'N' THAT
69622,THE 20TH CENTURY
69621,THIS 'N' THAT
69620,IF YOU CAN'T SAY SOMETHING NICE
69619,IF YOU CAN'T SAY SOMETHING NICE
69618,IF YOU CAN'T SAY SOMETHING NICE
69617,IF YOU CAN'T SAY SOMETHING NICE
69616,IF YOU CAN'T SAY SOMETHING NICE
69615,TV & FILM SAXOPHONISTS
69614,PEOPLE'S REPUBLICS
69613,PEOPLE'S REPUBLICS
69612,PEOPLE'S REPUBLICS
69611,PEOPLE'S REPUBLICS
69610,GIFTS
69609,PEOPLE'S REPUBLICS
69608,MANSIONS
69607,"ALL THINGS ""GREAT"" & ""SMALL"""
69606,20TH CENTURY INVENTIONS
69605,CONTINENTAL CONGRESSMEN
69604,GRAINS & STAPLES
69603,BRITISH TV
69602,EXILES
69601,MILITARY ACADEMIES
69600,SINCLAIR LEWIS
69599,THE 1500s
69598,U.S. PACIFIC DEPENDENCIES
69597,GAMES OF CHANCE
69596,THE DEMOCRATIC NATIONAL CONVENTION
69595,NOTABLE PHYSICIANS
69594,1950S SITCOMS
69593,SWEET SONGS
69592,BANDS OF THE '80s
69591,BANDS OF THE '80s
69590,BANDS OF THE '80s
69589,SPEAKING HINDI
69588,BANDS OF THE '80s
69587,BANDS OF THE '80s
69586,FOREST PRODUCTS
69585,"DANCE, MYTH & LEGEND"
69584,TV CHIEFS
69583,'30S FILM FACTS
69582,'30S FILM FACTS
69581,MUSICAL JOHNS
69580,'30S FILM FACTS
69579,DEM JOINTS
69578,'30S FILM FACTS
69577,1990s BUSINESS
69576,'30S FILM FACTS
69575,MUSICIANS & THEIR INSTRUMENTS
69574,PEOPLE FROM CONNECTICUT
69573,COURT APPOINTEES
69572,SINGERS & THEIR FILMS
69571,OCEANS & SEAS
69570,"""L""AW"
69569,"""Y"" NOT"
69568,HANNA-BARBERA DOGS
69567,JOHN WAYNE FILMS
69566,1492
69565,"""HOUSE"" & ""HOME"""
69564,1996
69563,MAY 6 EVENTS
69562,"THE ""I""S HAVE IT"
69561,GUINNESS FOOD & DRINK RECORDS
69560,"""FUN"" WORDS"
69559,WINES & SPIRITS
69558,SILLY SONGS
69557,CHILDREN'S BOOKS & AUTHORS
69556,CHILDREN'S BOOKS & AUTHORS
69555,CHILDREN'S BOOKS & AUTHORS
69554,CHILDREN'S BOOKS & AUTHORS
69553,PRIESTS
69552,BUDDHA
69551,WOMEN NOVELISTS
69550,MARTIN LUTHER KING
69549,GULF TALK
69548,OF NO IMPORTANCE
69547,FOOLS & FOLLIES
69546,MAY 1996
69545,SHAKESPEAREAN POTPOURRI
69544,THE WOMEN OF COUNTRY MUSIC
69543,POT CLUCK
69542,WEST VIRGINIANS
69541,GOOD THINKING
69540,1989 BOOKS
69539,THE PLAY'S THE THING
69538,THE PLAY'S THE THING
69537,THE PLAY'S THE THING
69536,THE PLAY'S THE THING
69535,17TH C. LIT
69534,THE PLAY'S THE THING
69533,MOST STRESSFUL JOBS
69532,'80s WORDS & PHRASES
69531,'80s WORDS & PHRASES
69530,'80s WORDS & PHRASES
69529,'80s WORDS & PHRASES
69528,'80s WORDS & PHRASES
69527,BEST PICTURES
69526,VALENTINE'S DAY
69525,VALENTINE'S DAY
69524,VALENTINE'S DAY
69523,VALENTINE'S DAY
69522,VALENTINE'S DAY
69521,FOREIGN SPORTS STARS
69520,PREGNANCY & CHILD CARE
69519,DISNEY WORLD AT 25
69518,TIME'S MAN OF THE YEAR
69517,TIME'S MAN OF THE YEAR
69516,TIME'S MAN OF THE YEAR
69515,TIME'S MAN OF THE YEAR
69514,"ENDS IN ""ICK"""
69513,TIME'S MAN OF THE YEAR
69512,MOM ROLES
69511,BIRDS & BEES
69510,FOREIGN LITERATURE
69509,MARCHING BAND
69508,WORDS TO THE WISE
69507,ALL ABOUT RIVERS
69506,CINEMA SEQUELS
69505,THE 1996 ELECTION
69504,SPAIN
69503,MILLIONAIRES
69502,BIBLE TALES
69501,LAST PLACE
69500,HISTORIC BROTHERS
69499,PERIODICALS
69498,BEAKMAN'S WORLD
69497,BEAKMAN'S WORLD
69496,BEAKMAN'S WORLD
69495,BEAKMAN'S WORLD
69494,"FRANCOPHILE UNDER ""M"""
69493,BEAKMAN'S WORLD
69492,INTRAMURALS
69491,BOOKS ABOUT TEENS
69490,THE BUSH ADMINISTRATION
69489,AROUND THE LIBRARY
69488,PRESIDENTS' BIRTHDAYS
69487,PRESIDENTS' BIRTHDAYS
69486,PRESIDENTS' BIRTHDAYS
69485,PRESIDENTS' BIRTHDAYS
69484,PRESIDENTS' BIRTHDAYS
69483,CROSSES
69482,AMERICAN MONEY
69481,U.S. AGENCIES
69480,SHOW BIZ SIBLINGS
69479,SHOPPING AROUND THE WORLD
69478,ANIMALS IN PARADISE
69477,NOTABLE WEDDINGS
69476,1897
69475,HANDICRAFTS
69474,BOOKS OF THE '90S
69473,BOOKS OF THE '90S
69472,BOOKS OF THE '90S
69471,BOOKS OF THE '90S
69470,BRITISH STATESMEN
69469,CLASSIC MOVIE QUOTES
69468,BOOKS OF THE '90S
69467,MAJOR LEAGUE SOCCER
69466,FAMOUS AUTHORS
69465,"IN THE ""RED"""
69464,ACTRESSES & TV ROLE
69463,AUTHORS' CHARACTERS
69462,AUTHORS' CHARACTERS
69461,AUTO FIRSTS
69460,AUTHORS' CHARACTERS
69459,AUTHORS' CHARACTERS
69458,AUTHORS' CHARACTERS
69457,NAME DROPPERS
69456,WISCONSIN CITIES
69455,SCOTTISH INVENTORS
69454,SOUL & FUNK MUSIC
69453,ATLANTA BUSINESS & INDUSTRY
69452,LESSER-KNOWN PROVERBS
69451,LOW COUNTRIES
69450,HORSE HODGEPODGE
69449,WINTER OLYMPIC SITES
69448,"""ZERO"""
69447,COLORFUL FOOD
69446,'60S BESTSELLERS
69445,'60S BESTSELLERS
69444,'60S BESTSELLERS
69443,'60S BESTSELLERS
69442,MEAT
69441,'60S BESTSELLERS
69440,1997 ANNIVERSARIES
69439,JUNGLE POTPOURRI
69438,CAVING
69437,WEDDING POTPOURRI
69436,CIVIL SERVICE
69435,MOVIE PRODUCERS
69434,WOMEN OF SONG
69433,REVERSE-A-WORD
69432,HAWAIIANS
69431,"""HARRY"" MOVIES"
69430,FACIAL HAIR
69429,BATMEN & ROBINS
69428,ON-LINE LINGO
69427,LANGUAGE OF FLOWERS
69426,1980s ROCK MUSIC
69425,THE THIRD
69424,EXPLORERS IN SCIENCE
69423,ANCIENT LIFE
69422,VICE PRESIDENTIAL CANDIDATES
69421,SMALL JOBS
69420,ROGER
69419,INSTRUMENTS
69418,MAY DAY
69417,WELL-KNOWN NAMES
69416,"""BLACK"" & ""WHITE"""
69415,CD-ROM GAMES
69414,1980s FICTION
69413,HOLLYWOOD FAMILIES
69412,"""OLD"" LIT"
69411,1930
69410,SECOND-LARGEST U.S. CITIES
69409,C'EST CHEESE
69408,C'EST CHEESE
69407,'90s MUSIC
69406,'90s MUSIC
69405,'90s MUSIC
69404,'90s MUSIC
69403,C'EST CHEESE
69402,C'EST CHEESE
69401,'90s MUSIC
69400,C'EST CHEESE
69399,HAVE A SEAT
69398,ALBUQUERQUE
69397,FILMS OF THE '30s
69396,BREAKFAST FOODS
69395,CRAZY PHRASES
69394,GEN. NELSON MILES
69393,MINOR LEAGUE BASEBALL
69392,"HOTELS, MOTELS & INNS"
69391,POETIC POTPOURRI
69390,FOOL'S ERRANDS
